Name,MW,RI,RFF,Biom1,Biom2Soil,BiomWSed,Biom1Soil,Biom_Or2018,Biom_Zelles1997,Soil_A1_kons,Sed_A1_kons,NMDS_Soil,NMDS_Sed
11:0,200,1210,0.4,,NAFA,NAFA,NAFA,NAFA,NoD,NAFA,NAFA,remove,remove
2OH10:0,202,1440,0.6,,gram.neg,gram.neg,gram.neg,NAFA,bacteria,NAFA,NAFA,2OH10:0,2OH10:0
12:0,214,1525,0.4,,NAFA,NAFA,NAFA,NAFA,bacteria,NAFA,NAFA,12:0,12:0
13:0,228,1624,0.4,,NAFA,NAFA,NAFA,NAFA,bacteria,NAFA,NAFA,13:0,13:0
2OH12:0,230,1637,0.5,,gram.neg,gram.neg,gram.neg,NAFA,pl_fungi,NAFA,NAFA,2OH12:0,2OH12:0
3OH12:0,230,1667,0.6,,gram.neg,gram.neg,gram.neg,NAFA,pl_fungi,NAFA,NAFA,3OH12:0,3OH12:0
14:0,242,1726,0.744,,bacteria,bacteria,bacteria,NAFA,pl_fungi,NAFA,NAFA,14:0,14:0
i15:0,256,1789,0.6,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,i15:0,i15:0
a15:0,256,1797,0.6,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,a15:0,a15:0
15:0,256,1834,0.403,,bacteria,bacteria,bacteria,bacteria,bacteria,NAFA,NAFA,15:0,15:0
2OH14:0,258,1843,0.5,,gram.neg,gram.neg,gram.neg,NAFA,bacteria,NAFA,NAFA,2OH14:0,2OH14:0
3OH14:0,258,1873,0.5,,gram.neg,gram.neg,gram.neg,NAFA,pl_fungi,NAFA,NAFA,3OH14:0,3OH14:0
i16:0,270,1890,0.6,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,i16:0,i16:0
a16:0,270,1899,0.6,gram.pos,gram.pos,gram.pos,gram.pos,NAFA,gram.pos,gram.pos,gram.pos,a16:0,a16:0
16:1w7c,268,1908,0.852,,gram.neg,Cyanobacteria,gram.neg,gram.neg,gram.neg,NAFA,NAFA,16:1w7c,16:1w7c
16:1w7t,268,1913,0.582,,gram.neg,gram.neg,gram.neg,NAFA,gram.neg,NAFA,NAFA,16:1w7t,16:1w7t
16:1w5c,268,1916,0.6,,AMF,gram.neg,AMF,NAFA,remove,remove,remove,remove,16:1w5c
16:1w5t,268,1920,0.6,,gram.neg,gram.neg,gram.neg,NAFA,NoD,NAFA,NAFA,16:1w5t,16:1w5t
16:1w5,268,1916,0.6,,AMF,gram.neg,AMF,NAFA,remove,remove,remove,remove,16:1w5
16:0,270,1930,0.67,,bacteria,bacteria,bacteria,NAFA,pl_fungi,NAFA,NAFA,16:0,16:0
10Me16:0,284,1972,0.55,Actinomycetales,Actinomycetales,Actinomycetales,gram.pos,NAFA,Actinomycetales,Actinomycetales,Actinomycetales,10Me16:0,10Me16:0
i17:0,284,1991,0.6,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,bacteria,gram.pos,gram.pos,i17:0,i17:0
a17:0,284,2001,0.606,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,gram.pos,a17:0,a17:0
delta17:0,282,2013,0.8,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,delta17:0,delta17:0
17:0,284,2032,0.679,,bacteria,bacteria,bacteria,NAFA,bacteria,bacteria,bacteria,17:0,17:0
2OH16:0,286,2048,0.5,,gram.neg,gram.neg,gram.neg,NAFA,pl_fungi,NAFA,NAFA,2OH16:0,2OH16:0
10Me17:0,298,2071,0.566,Actinomycetales,Actinomycetales,Actinomycetales,gram.pos,NAFA,Actinomycetales,Actinomycetales,Actinomycetales,10Me17:0,10Me17:0
3OH16:0,286,2086,0.5,,gram.neg,gram.neg,gram.neg,NAFA,pl_fungi,NAFA,NAFA,3OH16:0,3OH16:0
18:2w6,294,2099,0.676,Fungi,Fungi,Cyanobacteria,Fungi,NAFA,pl_fungi,remove,Cyanobacteria,remove,18:2w6
18:3w3,292,2101,0.064,,Fungi,Cyanobacteria,Fungi,NAFA,pl_fungi,remove,Cyanobacteria,remove,18:3w3
18:1w9c,296,2106,0.807,,Fungi,Cyanobacteria,Fungi,NAFA,pl_fungi,remove,remove,remove,18:1w9c
18:1w9t,296,2110,0.8,,Fungi,remove,Fungi,remove,remove,remove,remove,remove,remove
18:1w7c,296,2110,0.549,,gram.neg,Cyanobacteria,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,18:1w7c,18:1w7c
18:1w7t,268,2113,0.6,,gram.neg,gram.neg,gram.neg,NAFA,pl_fungi,NAFA,NAFA,18:1w7t,18:1w7t
18:0,298,2133,0.904,,bacteria,bacteria,bacteria,NAFA,pl_fungi,NAFA,NAFA,18:0,18:0
10Me18:0,312,2169,0.464,Actinomycetales,Actinomycetales,Actinomycetales,gram.pos,NAFA,Actinomycetales,Actinomycetales,Actinomycetales,10Me18:0,10Me18:0
19:1w9c,310,2206,0.724,,gram.neg,gram.neg,gram.neg,NAFA,bacteria,NAFA,NAFA,19:1w9c,19:1w9c
delta19:0,309,2215,0.856,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,gram.neg,delta19:0,delta19:0
19:0,312,2236,1,IS,IS,IS,IS,NAFA,IS,IS,IS,19:0,19:0
20:0,326,2331,0.9,,NAFA,NAFA,NAFA,NAFA,pl_fungi,NAFA,NAFA,20:0,20:0
22:0,,,1,,NAFA,NAFA,NAFA,NAFA,pl_fungi,NAFA,NAFA,22:0,22:0
FA,,,1,unid,unid,unid,unid,unid,unid,unid,unid,remove,remove
16:3w4,264,1898,1,,remove,Cyanobacteria,remove,remove,remove,remove,Cyanobacteria,remove,16:3w4