Region,Area,CV_Density_Cat,Site,Replicate,Unique_Code,Plot,Olsen_P,Carbon,Nitrogen,CN,Heather_Density,Measured_Heather_Category,Fungal_Colonisation
Southern,A,M,1,1,1-50-1,1,2,2.3,0.1,23,30,Medium,24.7
Southern,A,M,1,2,1-50-2,2,2,2.3,0.1,23,10,Low,35.7
Southern,A,M,1,3,1-50-3,3,2,2.3,0.1,23,40,Medium,41
Southern,A,M,1,4,1-50-4,4,2,2.3,0.1,23,60,Medium,41.7
Southern,A,M,1,5,1-50-5,5,2,2.3,0.1,23,30,Medium,45.7
Southern,A,L,2,1,2-0-1,6,3,7.3,0.19,38,0,Low,54
Southern,A,L,2,2,2-0-2,7,3,7.3,0.19,38,0,Low,59.7
Southern,A,L,2,3,2-0-3,8,3,7.3,0.19,38,0,Low,51
Southern,A,L,2,4,2-0-4,9,3,7.3,0.19,38,0,Low,48.3
Southern,A,L,2,5,2-0-5,10,3,7.3,0.19,38,0,Low,52.7
Southern,A,H,3,1,3-100-1,11,4,3.5,0.12,29,60,Medium,23.7
Southern,A,H,3,2,3-100-2,12,4,3.5,0.12,29,50,Medium,26.7
Southern,A,H,3,3,3-100-3,13,4,3.5,0.12,29,80,High,18.3
Southern,A,H,3,4,3-100-4,14,4,3.5,0.12,29,70,High,28
Southern,A,H,3,5,3-100-5,15,4,3.5,0.12,29,70,High,21
Southern,B,H,4,1,4-100-1,16,2,5.8,0.14,41,60,Medium,32
Southern,B,H,4,2,4-100-2,17,2,5.8,0.14,41,60,Medium,13
Southern,B,H,4,3,4-100-3,18,2,5.8,0.14,41,70,High,19.7
Southern,B,H,4,4,4-100-4,19,2,5.8,0.14,41,60,Medium,18
Southern,B,H,4,5,4-100-5,20,2,5.8,0.14,41,50,Medium,16
Southern,B,M,5,1,5-50-1,21,2,3.2,0.11,29,20,Medium,23
Southern,B,M,5,2,5-50-2,22,2,3.2,0.11,29,50,Medium,29.7
Southern,B,M,5,3,5-50-3,23,2,3.2,0.11,29,60,Medium,22.7
Southern,B,M,5,4,5-50-4,24,2,3.2,0.11,29,40,Medium,35.7
Southern,B,M,5,5,5-50-5,25,2,3.2,0.11,29,50,Medium,30.3
Southern,B,L,6,1,6-0-1,26,3,6.4,0.19,34,0,Low,43
Southern,B,L,6,2,6-0-2,27,3,6.4,0.19,34,0,Low,40
Southern,B,L,6,3,6-0-3,28,3,6.4,0.19,34,0,Low,45
Southern,B,L,6,4,6-0-4,29,3,6.4,0.19,34,0,Low,44.3
Southern,B,L,6,5,6-0-5,30,3,6.4,0.19,34,0,Low,29
Northern,C,L,7,1,7-0-1,31,5,6,0.27,22,0,Low,54.3
Northern,C,L,7,2,7-0-2,32,5,6,0.27,22,0,Low,43
Northern,C,L,7,3,7-0-3,33,5,6,0.27,22,0,Low,41.7
Northern,C,L,7,4,7-0-4,34,5,6,0.27,22,0,Low,35.3
Northern,C,L,7,5,7-0-5,35,5,6,0.27,22,0,Low,49.3
Northern,C,H,8,1,8-100-1,36,5,8.2,0.29,28,60,Medium,27
Northern,C,H,8,2,8-100-2,37,5,8.2,0.29,28,70,High,12.3
Northern,C,H,8,3,8-100-3,38,5,8.2,0.29,28,60,Medium,25
Northern,C,H,8,4,8-100-4,39,5,8.2,0.29,28,60,Medium,21.3
Northern,C,H,8,5,8-100-5,40,5,8.2,0.29,28,50,Medium,27.7
Northern,C,M,9,1,9-50-1,41,5,7.4,0.3,25,30,Medium,37.7
Northern,C,M,9,2,9-50-2,42,5,7.4,0.3,25,25,Medium,25.7
Northern,C,M,9,3,9-50-3,43,5,7.4,0.3,25,20,Medium,43
Northern,C,M,9,4,9-50-4,44,5,7.4,0.3,25,40,Medium,20
Northern,C,M,9,5,9-50-5,45,5,7.4,0.3,25,60,Medium,31.7
Central,D,H,10,1,10-100-1,46,4,4.1,0.16,26,70,High,17.7
Central,D,H,10,2,10-100-2,47,4,4.1,0.16,26,60,Medium,9.3
Central,D,H,10,3,10-100-3,48,4,4.1,0.16,26,70,High,18.7
Central,D,H,10,4,10-100-4,49,4,4.1,0.16,26,90,High,26.7
Central,D,H,10,5,10-100-5,50,4,4.1,0.16,26,90,High,26
Central,D,L,11,1,11-0-1,51,3,6.4,0.16,40,0,Low,46.3
Central,D,L,11,2,11-0-2,52,3,6.4,0.16,40,0,Low,39.6
Central,D,L,11,3,11-0-3,53,3,6.4,0.16,40,0,Low,30
Central,D,L,11,4,11-0-4,54,3,6.4,0.16,40,0,Low,60.3
Central,D,L,11,5,11-0-5,55,3,6.4,0.16,40,0,Low,32.3
Central,D,M,12,1,12-50-1,56,5,7,0.25,28,50,Medium,20
Central,D,M,12,2,12-50-2,57,5,7,0.25,28,40,Medium,30.3
Central,D,M,12,3,12-50-3,58,5,7,0.25,28,50,Medium,37.6
Central,D,M,12,4,12-50-4,59,5,7,0.25,28,80,High,29
Central,D,M,12,5,12-50-5,60,5,7,0.25,28,60,Medium,25
Central,E,M,13,1,13-50-1,61,5,2.8,0.12,23,40,Medium,20.3
Central,E,M,13,2,13-50-2,62,5,2.8,0.12,23,30,Medium,25
Central,E,M,13,3,13-50-3,63,5,2.8,0.12,23,15,Medium,20.3
Central,E,M,13,4,13-50-4,64,5,2.8,0.12,23,20,Medium,19.3
Central,E,M,13,5,13-50-5,65,5,2.8,0.12,23,50,Medium,18.3
Central,E,H,14,1,14-100-1,66,3,8.6,0.19,45,60,Medium,32
Central,E,H,14,2,14-100-2,67,3,8.6,0.19,45,80,High,13
Central,E,H,14,3,14-100-3,68,3,8.6,0.19,45,70,High,14.3
Central,E,H,14,4,14-100-4,69,3,8.6,0.19,45,40,Medium,22.7
Central,E,H,14,5,14-100-5,70,3,8.6,0.19,45,70,High,22.7
Central,E,L,15,1,15-0-1,71,2,1.1,0.06,18,0,Low,43
Central,E,L,15,2,15-0-2,72,2,1.1,0.06,18,0,Low,49.6
Central,E,L,15,3,15-0-3,73,2,1.1,0.06,18,0,Low,43.6
Central,E,L,15,4,15-0-4,74,2,1.1,0.06,18,0,Low,43
Central,E,L,15,5,15-0-5,75,2,1.1,0.06,18,0,Low,34.7